"stno","2012-06-01","2012-06-02","2012-06-03","2012-06-04","2012-06-05","2012-06-06","2012-06-07","2012-06-08","2012-06-09","2012-06-10","2012-06-11","2012-06-12","2012-06-13","2012-06-14","2012-06-15","2012-06-16","2012-06-17","2012-06-18","2012-06-19","2012-06-20","2012-06-21","2012-06-22","2012-06-23","2012-06-24","2012-06-25","2012-06-26","2012-06-27","2012-06-28","2012-06-29","2012-06-30"
"466880","0","7","-9998","13.5","-9998","0","0","0","0","0","70.5","360","0","19","62","43","-9998","0","19.5","20.5","10","6.5","18.5","0","-9998","6.3","0","0","-9998","-9998"
"466900","0","1.6","2","6.5","1","0","0","0","0","0","107","112.8","0","15.5","33","19","0","0.5","17.5","23.2","20.5","40.5","28.3","0","0","0","0","0","0","0"
"466910","8","14.5","49","35","4.5","0","0","0","0","0","108.5","109.5","0","29","31.5","58","0","0.5","36.5","32","36.5","7","2.5","0","0","0","0","-9998","0","5.5"
"466920","0","1.1","-9998","15","-9998","0","0","0","0","0","61","277.5","0","26","31","127","0","-9998","26","15","10.5","1","6.5","1","6.5","17.5","0","0","-9998","3"
"466930","4.5","8","80.5","21","-9998","0","0","0","0","0","91.5","125.5","0","25","22.5","48.5","0","0","19.5","38.5","14.5","7","2","0","1.5","0","0","-9998","0","3.5"
"466940","0.8","1.8","11.6","17.5","0.7","0","0","0.2","3.5","4.1","66.7","149.3","0.3","31","12.6","4","0","0","16.3","18.6","8.5","38.7","0.1","2.5","1.7","0","0","0.5","0","0"
"466950","0","0.3","0","2.8","0","0","0","0","0","0","21","82.5","1.1","25.5","5.5","0.9","0","0","22","6.4","6.6","1.3","0","0","0","0","0","0","7.5","0"
"466990","0","0","81","2","5","2.5","0","2","5.5","41.5","7.5","57.5","24.5","31.5","0.5","10.5","4.5","-9998","7","23.5","4","0","0","0","0","0","0","29.5","12.5","0"
"467060","0.6","1","162.8","18.3","0","0.4","0","0.3","2.4","2.3","26","61.3","3.9","13.2","0.2","0.6","1.8","27.2","4.7","16.5","6.4","0","0","0.5","0","0","0","5.1","0.9","0"
"467080","0","0","23.6","7.2","0","5.4","0","3.4","45","14.6","5.5","105.8","9.7","16.7","3.1","0","0","11.8","9.9","22.2","3.3","-9998","0","0","0","0","0","0.2","0","0"
"467110","0","0","0","0","0","0","0","0","0","8.7","0.2","3.8","0","1.3","0","32.7","5.1","0","3.6","48.4","0.2","10.7","0","0","0.2","0","0","0","1.3","2.3"
"467300","0","0","0","0","0","0","0.9","7.5","8.4","0","0","37.9","14.9","66.4","0","7.5","4","4","21.5","53.5","46","8.5","5.5","2","0","0","0","0","0","0"
"467350","0","0","-9998","0","0","0","0","-9998","0.3","-9998","-9998","1.5","0.1","64.5","2.7","7.6","5.6","-9998","37.5","69.5","29.2","7.2","0","0","0","0","0","0","0.3","0"
"467410","0","0","0","0","0","0","0","24","45.5","70","26","110","41","169.5","31","0.5","54.5","3.5","60.5","102.5","32","11.5","19.5","2","0","0","-9998","0","0","0"
"467420","0","0","0","0","0","0","-9997","33","69","93","25.5","97.5","23.5","198.5","24","0.5","73","2","80.5","123","32","8.5","25.5","4","0","0","12.5","0","0","0"
"467440","0","0","0","0","0","1.5","0","62.5","43","96","31","152.5","30","50.5","43.5","11.5","0","11","82.5","137","57","15.5","6","0.5","0.5","0","0.5","0","-9998","0"
"467480","0","0","0","0","0","0","0","2.5","38.8","88.5","6.3","45","20.7","101.5","2.5","13","7","2.5","46","100","5.1","2.5","11.1","0","0","0","0","0","5.5","-9998"
"467490","0","0","0","0","0","0","0.1","8.2","20.7","23.2","38.7","70.1","0.9","33.3","6.2","2.9","4.7","1.1","37.8","57.1","20.8","0","2.4","0","0","0","0","0","2.6","0.8"
"467530","2.5","4.5","30.5","0.5","0","0","0","7.5","44.5","417","481.5","285","11","58","7","0.5","20","4.5","106","285","49","21.2","12","2.9","0.8","0","9","0","2.8","0"
