"stno","2014-03-01","2014-03-02","2014-03-03","2014-03-04","2014-03-05","2014-03-06","2014-03-07","2014-03-08","2014-03-09","2014-03-10","2014-03-11","2014-03-12","2014-03-13","2014-03-14","2014-03-15","2014-03-16","2014-03-17","2014-03-18","2014-03-19","2014-03-20","2014-03-21","2014-03-22","2014-03-23","2014-03-24","2014-03-25","2014-03-26","2014-03-27","2014-03-28","2014-03-29","2014-03-30","2014-03-31"
"466880","-9998","7.5","5","11.5","7","14.5","16.5","15","3","-9998","0.2","12.5","20","0","0","-9998","0","0","0","0.8","0.5","0","0","0","0","0","0","0","20.5","0","31"
"466900","-9998","6","7.5","13.5","5.5","7","8","18.5","6","0","0","13","2","0","0","0","0","0","0","0.5","0.5","0","0","0","0","0","1","0","10","0","12"
"466910","1","13.5","11.5","18.5","13","30","33","20.5","17","1.5","1","12.5","10","0","0","0","0","0","0","9.5","3","0","0","0","0","0","2","0","10.5","0","12.5"
"466920","-9998","3.5","9.5","10","12","10","13.5","13","6","-9998","-9998","10.5","21.5","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","19.5","0","16"
"466930","1","9","11.5","14","7.5","24","20","11.5","7.5","0.5","0.5","9.5","4.5","0","0","0","0","0","0","5","2.5","0","0","0","0","0","1","0","14.5","0","22"
"466940","4.8","24.6","11","11.3","6.3","36.4","48","22.5","7","-9998","0","7.6","9.3","0","0","0","0","0","0","4.6","0.2","0","0","0","0","0","1","0","29","0","16.2"
"466950","1.6","11.6","10","16.5","3.3","9.4","12.8","10.6","0.5","0","0","26","4","0","0","0","0","0","0","2","0.5","0","0","0","0","0","0","0","0","0","5.5"
"466990","0","6.5","1.5","3.5","4","1.5","1.5","2","3.5","0","0","6","2","1","0","0","0","0","0","0.5","0.5","0","0","-9998","0","0","15","3","0","2.5","7.5"
"467050","0","5.5","1","8","3","13.2","10.5","13","0.5","0","0","7.4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2","0","10"
"467060","0","4.5","8.8","1","1.6","15.1","19.5","2","2.3","0.4","0","7.5","5.9","0","0","0","0","0","0","0.3","2.4","0.1","0","0","0","0","27.5","11","0.9","0","6"
"467080","0","6.5","1.2","0.9","0.5","5.5","26.5","0.7","0.1","-9998","-9998","5.7","2.9","0","0","0","0","0","0","0.2","1.5","0","0","0","0","0","34.8","1.9","2.1","0","8.3"
"467110","0","-9998","0","0","0.2","0.2","0.5","0.6","0","-9998","11.5","10.8","0.5","-9998","0","3.8","0","0","0","0","0","0","0","0","0","0","0","0.2","0.2","10.6","13.1"
"467300","0","1","0","0","0","0","0","0","0","0","-9998","4.8","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","48.6","0","0","0","27.2"
"467350","0","1.6","0","0","-9998","-9998","-9998","-9998","0","-9998","1.5","1.1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","39.8","0","-9998","-9998","15.4"
"467410","0","0","0","0","0","0","0","0","0","0","0","0","-9998","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","27.5"
"467420","0","0","0","0","0","0","0","0","0","0","0","0","-9998","0","0","0","0","0","0","0","0","0","0","0","0","0","-9998","0","0","0","28"
"467440","0","0","0","0","0","-9998","0","0","0","0","0","0","0","-9998","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","66.5"
"467480","0","0.3","0","0","0.5","0","0","0","0","0","0.3","3.6","8.5","0","0","0","0","0","0","0","-9998","0","0","0","0","0","12.5","0","0","0","30.1"
"467490","0","0.1","0.3","1.2","3.7","0","0.2","3.5","0","0","0.5","15.4","14.9","0","0","0","0","0","0","2.7","0","0.2","0","0","0","0","0","5","0","0","9.8"
"467530","0","0.4","2.3","0","3","0","0","0","0.5","0","0.3","11","37","0","0","0","0","0","0","0","1.5","0","0","0","0","0","16","0","35","0","42.5"
"467540","0","0","-9998","0","0","0","0","0","6","0","0","0","4.5","0","0","0","0","-9998","-9998","-9998","1","0","0","0","0","1.5","18.5","3.4","3","-9998","32"
"467550","0","0","0","0","0","0","0","0","2","0","1.6","10.7","35.7","1","0.2","0","0","0","0","0","-9998","0","0","0","0","0","2","0.5","12.5","0","21"
"467571","1.3","4.6","3.5","11","4.2","12.8","6.9","18.5","1.6","0","0.2","29.8","6.2","0","0","0.1","0","0","0","0.1","0","0","0","0","0","0","-9998","0","14.8","0","13.4"
"467590","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","37"
"467610","0","3.2","0","0","7.5","0","0","2.8","14.7","0.2","0.5","0","10","0.2","0","0","0","0","0.5","3.5","1","0","0.1","0","0.1","10.4","6.8","0.7","0.5","3.4","15.2"
"467620","0","1.5","1.5","0","4.5","6","3.5","0","0.5","0.5","0","0","8.5","0.5","0","0","0","0","0","0","0","0","0","0","-9998","30.5","0","1.5","0","0","36"
"467650","0","0","-9998","0.5","4","0","0.5","2","0","0","-9998","30.5","8","0","0","0","0","0","0","0","5.5","-9998","0","0","0","0","-9998","0","0","0","29"
"467660","-9998","0","0","0","-9998","0","0","0","1.4","0","0.2","0","0.5","0.6","0","0","0.1","3","0.1","0","0","0","0","0","0","6.5","1.6","6.8","0.9","0.2","13.1"
"467770","0","0","0.1","1","1.5","-9998","0.2","2","0","0","0.2","13.1","5.5","0","0","0.1","0","0","0","0","0","0","0","0","0","0","4.5","0","1","0","6.5"
"467780","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5","0","0","0","25.5"
"467990","2.5","3","5","8.5","0","9.5","5.5","10","0","0","0.5","20.5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0.8","0","19","0","9.2"
"C0A520","0","9","4","9.5","7","18","12","20","3","0","0","16","27.5","0","0","0","0","0","0","0.5","1.5","0","0","0","0","0","0","0","18","0","30.5"
