"stno","2017-09-01","2017-09-02","2017-09-03","2017-09-04","2017-09-05","2017-09-06","2017-09-07","2017-09-08","2017-09-09","2017-09-10","2017-09-11","2017-09-12","2017-09-13","2017-09-14","2017-09-15","2017-09-16","2017-09-17","2017-09-18","2017-09-19","2017-09-20","2017-09-21","2017-09-22","2017-09-23","2017-09-24","2017-09-25","2017-09-26","2017-09-27","2017-09-28","2017-09-29","2017-09-30"
"466880","8.5","8","8.5","4","0","0","0","-9998","0.2","2","0","-9998","15.5","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-9998","0"
"466900","16","1.5","21.5","0","0","0","0","0","2","0","0","-9998","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-9998","0"
"466910","51.5","27","29.2","0","0","0","0","1","0","0","0","1","76","20.8","0","0","0","0","0","0","0","0","0","0","0","0","0","50.5","50.5","0"
"466920","39.6","10.5","52.5","0.1","0","0","0","31.8","1.8","0","0","5","23.1","11.2","0","0","0","0","0","0","0","0","0","0","0","0","0","-9998","-9998","0"
"466930","54.5","17.9","24.1","0","0","0","0","10.6","0","0","0","2.1","86","37.6","0","0","0","0","0","0","0","0","0","0","0","0","0","40.6","19.8","0"
"466940","32.5","44.5","35","0.5","0","0","0","0.4","0","0","0","0.4","7.5","14","0","0","0","0","0","0","0","0","0","0","0","0","0","17.5","36.5","0"
"466950","0","0","14.5","0","0","0","0","0","0","0","0","0","0","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"466990","60","6","0.5","0","0","0","0","0","0","0","0","0","32.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0"
"467050","0","5.5","1","0","0","0","5","1.3","3.1","0","0","0","1.4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"467060","71.8","258.9","30.6","0","0","0","0","0","0","0","0","0","1.9","1.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.5","3"
"467080","231","154","25","0.4","0","0","0","0","0","0","0","0","2.8","0","0","0","0","0","0","0.7","0.1","-9998","0","0","0","0","0","3.8","243","-9998"
"467110","0","-9998","28.5","0.5","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3","0","0","0","0","0","0","0","0"
"467300","3.7","4.5","11.3","0.2","0","0","-9998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"467350","-9998","1.6","18.5","-9998","0","0","-9998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"467410","3.5","1.5","5","17.5","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-9998","0","0","-9998","0"
"467420","3","1","3","8","0","0","5","0","0","0","0","-9998","0","0","0","0","0","0","0","0","0","0","0","0","0.5","-9997","0","0","0.5","0"
"467440","16","2","1.5","1","0.5","0","5.5","0","0","0","0","0","0","0","0","0","0","0","4.5","1.5","0","0","0","0","-9998","0","0","0","0","0"
